000001   苏运货   货运   CNFalse   0   1   ###   068      NUMFalse   0   1
000069   浙嘉兴货   浙嘉兴货   CNTrue   42   69   ###   02568   02568   NUMTrue   55   69
000070   浙诸暨货   浙诸暨货   CNTrue   43   70   ###   1182   1182   NUMTrue   56   70
000071   浙钱江货   浙钱江货   CNTrue   44   71   ###   00527   0052   NUMFalse   56   71
000072   浙诸暨货   浙诸一暨货   CNFalse   44   72   ###   1028   1028   NUMTrue   57   72
000073   浙诸暨货   浙诸暨货   CNTrue   45   73   ###   1028   1028   NUMTrue   58   73
000074   祥和   祥和   CNTrue   46   74   ###   798      NUMFalse   58   74
000075   浙萧山货   浙萧   CNFalse   46   75   ###   23966   966   NUMFalse   58   75
000076   浙萧山货   浙江萧山货   CNFalse   46   76   ###   25025   25025   NUMTrue   59   76
000077   浙绍兴货   浙兴货   CNFalse   46   77   ###   0293   293   NUMFalse   59   77
000078   浙平湖货   浙平湖货   CNTrue   47   78   ###   02806   02806   NUMTrue   60   78
000079   浙绍兴货   浙绍兴货   CNTrue   48   79   ###   0293   29   NUMFalse   60   79
000080   浙诸暨货   浙诸暨货   CNTrue   49   80   ###   0816   0816   NUMTrue   61   80
000081   浙诸暨货   浙诸暨货   CNTrue   50   81   ###   0867   086   NUMFalse   61   81
000082   浙诸暨货   浙诸暨货   CNTrue   51   82   ###   1260   12   NUMFalse   61   82
000083   浙诸暨货   浙诸暨   CNFalse   51   83   ###   1269      NUMFalse   61   83
000084   浙诸暨货   新在请暨货   CNFalse   51   84   ###   1067   21067   NUMFalse   61   84
000085   浙诸暨货   浙诸暨月货   CNFalse   51   85   ###   1067   106   NUMFalse   61   85
000086   浙萧山货   货   CNFalse   51   86   ###   23838   2383   NUMFalse   61   86
000087   浙萧山货   浙北萧山货   CNFalse   51   87   ###   23838   838   NUMFalse   61   87
000088   浙诸暨货   货暨货   CNFalse   51   88   ###   1238   41238   NUMFalse   61   88
000089   浙杭州货   浙杭州货   CNTrue   52   89   ###   00583   00583   NUMTrue   62   89
000090   浙诸暨货   浙飞诸暨货   CNFalse   52   90   ###   1228   1228   NUMTrue   63   90
000091   浙诸暨货   浙诸暨货   CNTrue   53   91   ###   1228   122   NUMFalse   63   91
000092   浙诸暨货   浙诸暨货   CNTrue   54   92   ###   0768   0768   NUMTrue   64   92
000093   浙诸暨货   浙诸暨货   CNTrue   55   93   ###   1056   1056   NUMTrue   65   93
000094   浙诸暨货   浙诸暨货   CNTrue   56   94   ###   0863   00863   NUMFalse   65   94
000095   浙诸暨货   浙诸暨货   CNTrue   57   95   ###   1099   1099   NUMTrue   66   95
000096   皖寿县   皖寿县   CNTrue   58   96   ###   3333   3333   NUMTrue   67   96
000097   浙萧山货   浙前山货   CNFalse   58   97   ###   03167   0316   NUMFalse   67   97
000098   桐乡货   桐乡货   CNTrue   59   98   ###   02785   02785   NUMTrue   68   98
000099   浙桐庐货   浙桐庐货   CNTrue   60   99   ###   00483   00483   NUMTrue   69   99
000100   浙诸暨货   货   CNFalse   60   100   ###   0836   0836   NUMTrue   70   100
